Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,50,Siem Woldesilassie,110556 | ZAC A (11/08) - 19:30:00,1:7:5.422,0.000,36,1:39.025,36,49.188 km/h
2,143,Thomas Ruijgrok,110556 | ZAC A (11/08) - 19:30:00,1:7:5.493,0.071,36,1:38.635,36,49.382 km/h
3,34,Timo de Waard,110556 | ZAC A (11/08) - 19:30:00,1:7:6.102,0.680,36,1:39.384,36,49.010 km/h
4,40,Kees Pameijer,110556 | ZAC A (11/08) - 19:30:00,1:7:6.654,1.232,36,1:40.561,36,48.436 km/h
5,24,Joost Slingerland,110556 | ZAC A (11/08) - 19:30:00,1:7:6.907,1.485,36,1:39.883,36,48.765 km/h
6,38,Bart Vonk,110556 | ZAC A (11/08) - 19:30:00,1:7:7.068,1.646,36,1:39.902,36,48.756 km/h
7,10,Hans Meerbeek,110556 | ZAC A (11/08) - 19:30:00,1:7:7.754,2.332,36,1:40.155,36,48.633 km/h
8,42,Sam Lagerwij,110556 | ZAC A (11/08) - 19:30:00,1:7:7.767,2.345,36,1:40.456,36,48.487 km/h
9,21,Erik de Niet,110556 | ZAC A (11/08) - 19:30:00,1:7:7.797,2.375,36,1:40.360,36,48.533 km/h
10,28,Jan Gudde,110556 | ZAC A (11/08) - 19:30:00,1:7:8.412,2.990,36,1:42.065,36,47.723 km/h
11,126,Mark Verbeek,110556 | ZAC A (11/08) - 19:30:00,1:7:8.541,3.119,36,1:42.623,36,47.463 km/h
12,2,Dennis van der Velden,110556 | ZAC A (11/08) - 19:30:00,1:7:9.482,4.060,36,1:42.526,4,47.508 km/h
13,43,Ronald Geleynse,110556 | ZAC A (11/08) - 19:30:00,1:7:9.930,4.508,36,1:43.183,36,47.205 km/h
14,5,Rob uit de Bosch,110556 | ZAC A (11/08) - 19:30:00,1:7:10.160,4.738,36,1:42.596,36,47.476 km/h
15,32,Martijn Coeveld,110556 | ZAC A (11/08) - 19:30:00,1:7:11.097,5.675,36,1:43.313,36,47.146 km/h
16,4,Marc Plönes,110556 | ZAC A (11/08) - 19:30:00,1:7:11.330,5.908,36,1:43.302,4,47.151 km/h
17,144,Mark Veenstra,110556 | ZAC A (11/08) - 19:30:00,1:7:13.964,8.542,36,1:43.477,4,47.071 km/h
18,120,Jasper Kettenis,110556 | ZAC A (11/08) - 19:30:00,1:7:5.228,1 lap,35,1:39.026,35,49.187 km/h
19,22,Jaco de Hoog,110556 | ZAC A (11/08) - 19:30:00,1:7:12.567,1 lap,35,1:43.313,4,47.146 km/h
20,44,Don de Leeuw,110556 | ZAC A (11/08) - 19:30:00,57:20.614,7 laps,29,1:45.516,3,46.162 km/h
21,7,Sijmen Kwakkel,110585 | ZAC B (11/08) - 19:31:00,57:5.453,8 laps,28,1:44.000,28,46.835 km/h
22,17,Olen Olsthoorn,110585 | ZAC B (11/08) - 19:31:00,57:5.539,8 laps,28,1:43.582,28,47.024 km/h
23,8,Jan Kwakkel,110585 | ZAC B (11/08) - 19:31:00,57:5.584,8 laps,28,1:43.971,28,46.848 km/h
24,38,Femke van Welie,110585 | ZAC B (11/08) - 19:31:00,57:5.878,8 laps,28,1:44.732,28,46.507 km/h
25,107,Ricardo Hillegers,110585 | ZAC B (11/08) - 19:31:00,57:5.891,8 laps,28,1:44.017,28,46.827 km/h
