Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,26,Daan Hogenelst,110561 | ZAC A (15/09) - 19:30:00,1:7:55.031,0.000,37,1:40.504,26,48.464 km/h
2,37,Julian Kerklaan,110561 | ZAC A (15/09) - 19:30:00,1:8:32.239,37.208,37,1:41.819,37,47.838 km/h
3,50,Siem Woldesilassie,110561 | ZAC A (15/09) - 19:30:00,1:8:32.436,37.405,37,1:41.917,7,47.792 km/h
4,23,Joost te Braake,110561 | ZAC A (15/09) - 19:30:00,1:8:32.525,37.494,37,1:40.017,8,48.700 km/h
5,18,Robbert Schaap,110561 | ZAC A (15/09) - 19:30:00,1:8:32.744,37.713,37,1:42.121,37,47.696 km/h
6,61,Jan Kwakkel,110561 | ZAC A (15/09) - 19:30:00,1:8:33.178,38.147,37,1:41.938,7,47.782 km/h
7,21,Erik de Niet,110561 | ZAC A (15/09) - 19:30:00,1:8:33.326,38.295,37,1:42.756,37,47.402 km/h
8,39,Roderick Loykens,110561 | ZAC A (15/09) - 19:30:00,1:8:34.011,38.980,37,1:42.615,8,47.467 km/h
9,24,Joost Slingerland,110561 | ZAC A (15/09) - 19:30:00,1:8:34.299,39.268,37,1:42.729,8,47.414 km/h
10,52,Rik Bisschop,110561 | ZAC A (15/09) - 19:30:00,1:8:34.653,39.622,37,1:43.647,37,46.994 km/h
11,2,Dennis van der Velden,110561 | ZAC A (15/09) - 19:30:00,1:8:35.316,40.285,37,1:42.704,12,47.426 km/h
12,17,Juul Hubert,110561 | ZAC A (15/09) - 19:30:00,1:8:35.347,40.316,37,1:42.660,8,47.446 km/h
13,58,Johan Olsthoorn,110561 | ZAC A (15/09) - 19:30:00,1:8:35.356,40.325,37,1:42.893,7,47.338 km/h
14,118,Chris Heiberg,110561 | ZAC A (15/09) - 19:30:00,1:8:35.595,40.564,37,1:42.963,8,47.306 km/h
15,10,Hans Meerbeek,110561 | ZAC A (15/09) - 19:30:00,1:8:36.111,41.080,37,1:43.572,8,47.028 km/h
