Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
29,138,Stijn Weeber,110578 | ZAC B (23/06) - 19:31:00,1:4:5.797,7 laps,32,1:49.041,32,44.669 km/h
30,119,Marco Van Tol,110578 | ZAC B (23/06) - 19:31:00,1:4:6.202,7 laps,32,1:48.657,2,44.827 km/h
31,62,Harmen Land,110578 | ZAC B (23/06) - 19:31:00,1:4:6.305,7 laps,32,1:49.315,12,44.557 km/h
32,76,Hans Kruithof,110578 | ZAC B (23/06) - 19:31:00,1:4:7.837,7 laps,32,1:48.646,12,44.832 km/h
33,39,René Ammerlaan,110578 | ZAC B (23/06) - 19:31:00,1:4:8.695,7 laps,32,1:49.809,1,44.357 km/h
34,21,Arco Flikweert,110578 | ZAC B (23/06) - 19:31:00,1:4:9.220,7 laps,32,1:49.708,1,44.398 km/h
35,86,Rob Vollebregt,110578 | ZAC B (23/06) - 19:31:00,1:4:10.831,7 laps,32,1:48.105,9,45.056 km/h
36,22,Jesse Flikweert,110578 | ZAC B (23/06) - 19:31:00,1:4:12.601,7 laps,32,1:47.409,12,45.348 km/h
37,23,Marc Semmeling,110578 | ZAC B (23/06) - 19:31:00,1:4:30.019,7 laps,32,1:50.079,12,44.248 km/h
38,13,Jeroen Wieringa,110578 | ZAC B (23/06) - 19:31:00,1:4:31.060,7 laps,32,1:49.563,12,44.457 km/h
39,29,Sanne Kerklaan,110578 | ZAC B (23/06) - 19:31:00,1:4:5.601,8 laps,31,1:47.694,12,45.228 km/h
40,29,Richard Schouten,110549 | ZAC A (23/06) - 19:30:00,1:4:11.988,8 laps,31,1:44.804,3,46.475 km/h
41,22,Jaco de Hoog,110549 | ZAC A (23/06) - 19:30:00,47:31.449,14 laps,25,1:43.265,3,47.168 km/h
42,31,Alwin Niewold,110549 | ZAC A (23/06) - 19:30:00,1:3:45.461,16 laps,23,1:44.036,1,46.818 km/h
43,26,Erik Mooij,110578 | ZAC B (23/06) - 19:31:00,44:14.755,17 laps,22,1:50.594,1,44.042 km/h
44,46,Saar Mooij,110578 | ZAC B (23/06) - 19:31:00,43:33.299,21 laps,18,1:50.611,1,44.035 km/h
45,57,Djurre Aleman,110578 | ZAC B (23/06) - 19:31:00,27:1.076,26 laps,13,1:48.870,12,44.740 km/h
46,3,Rombout Loman,110578 | ZAC B (23/06) - 19:31:00,23:36.986,27 laps,12,1:48.878,12,44.736 km/h
47,100,Jeroen van Vliet,110578 | ZAC B (23/06) - 19:31:00,1:4:8.414,27 laps,12,1:55.840,8,42.048 km/h
48,20,Robin Schoew,110549 | ZAC A (23/06) - 19:30:00,5:33.336,36 laps,3,1:46.074,2,45.919 km/h
49,3,Tim van der Velden,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
50,5,Rob uit de Bosch,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
51,6,Teun Berkhout,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
52,7,Caiden Jeurissen,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
53,8,Jasper Hupkes,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
54,9,Sander Huisson,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
55,11,Niels van Vliet,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
56,14,Tim Bennis,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
57,15,Mathijs Bodde,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
58,16,Peter Fils,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
59,17,Juul Hubert,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
60,18,Robbert Schaap,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
61,19,Maxim Harteloh,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
62,24,Joost Slingerland,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
63,25,Ernst Fidom,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
64,26,Daan Hogenelst,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
65,51,Maurits Oskam,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
66,27,Jianhao Wu,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
67,28,Jan Gudde,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
68,30,Pieter Bekker,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
69,33,Eibert van 't Hof,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
70,34,Timo de Waard,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
71,35,Ralph van der Meer,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
72,37,Julian Kerklaan,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
73,38,Bart Vonk,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
74,39,Roderick Loykens,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
75,40,Kees Pameijer,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
76,41,Bob van den Berg,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
77,46,Hugo Esteban Escudero,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
78,42,Sam Lagerwij,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
79,45,Alexander van den Berg van Saparoea,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
80,47,Arjen Koene,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
81,49,Max Etalle,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
82,52,Rik Bisschop,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
83,53,Melvin Straathof,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
84,54,Teunis de Beer,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
85,55,Jelmer Kraaijeveld,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
86,108,Marco Antonio Bianco,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
87,56,Tom de Vreede,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
88,57,Teun Wissema,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
89,111,Frezer Netserab,110549 | ZAC A (23/06) - 19:30:00,0.000,0.000,-,0.000,-,-
90,1,Luuk Nijhoff,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
91,5,Albert Berkhout,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
92,6,Bram Berkhout,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
93,7,Sijmen Kwakkel,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
94,8,Jan Kwakkel,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
95,9,Milou van de Beek,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
96,10,Sofie Freeke,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
97,15,Jeroen de Keijzer,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
98,16,Lucas Geerlings,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
99,18,Ot Kuiper,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
100,27,Mark Veenstra,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
101,28,Bas Neuteboom,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
102,30,Niels Levelt,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
103,31,Dorien van Iwaarden,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
104,32,Björn Christian Benschop,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
105,33,Johan Bakker,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
106,34,Bram Veenhof,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
107,35,Anton Koopman,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
108,36,Paul van Sighem,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
109,37,Rob van der Liende,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
110,38,Femke van Welie,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
111,40,Bart van Leeuwen,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
112,41,Mark van der Weide,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
113,43,André Mook,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
114,44,Ard Koeleman,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
115,47,Faniel Haile,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
116,48,Nanky Fernandez Bonilla,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
117,50,Niek Adema,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
118,51,Eric Weber,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
119,52,Nienke Bennis,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
120,53,Floor Sigmond,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
121,54,Maurits van der Heijde,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
122,55,Mette Stoel,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
123,59,Qiyan Wang,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
124,60,Ricardo Jansen,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
125,61,Rémy van Es,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
126,63,Izzy Kreuk,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
127,64,Daniel El Helou,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
128,65,Louis Oudshoorn,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
129,92,Esrom Netserab,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
130,132,Emma Piersma,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
131,139,Hans Nieuwenburg,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
132,147,Nelson Tausk,110578 | ZAC B (23/06) - 19:31:00,0.000,0.000,-,0.000,-,-
133,-??-,- GZ-75296 -,,0.000,0.000,-,0.000,-,-
134,-??-,- FN-67906 -,,0.000,0.000,-,0.000,-,-
135,-??-,- KK-53082 -,,0.000,0.000,-,0.000,-,-
