Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,50,Siem Woldesilassie,110549 | ZAC A (23/06) - 19:30:00,1:12:45.531,0.000,39,1:42.226,39,47.647 km/h
2,21,Erik de Niet,110549 | ZAC A (23/06) - 19:30:00,1:12:49.624,4.093,39,1:41.904,28,47.798 km/h
3,48,Linus Kloepfer,110549 | ZAC A (23/06) - 19:30:00,1:12:54.778,9.247,39,1:40.879,10,48.284 km/h
4,23,Joost te Braake,110549 | ZAC A (23/06) - 19:30:00,1:13:0.235,14.704,39,1:41.076,39,48.189 km/h
5,58,Johan Olsthoorn,110549 | ZAC A (23/06) - 19:30:00,1:13:2.409,16.878,39,1:42.387,28,47.572 km/h
6,1,Guido Smit,110549 | ZAC A (23/06) - 19:30:00,1:13:2.816,17.285,39,1:43.363,39,47.123 km/h
7,109,Stan van der Knaap,110549 | ZAC A (23/06) - 19:30:00,1:13:3.092,17.561,39,1:41.420,9,48.026 km/h
8,10,Hans Meerbeek,110549 | ZAC A (23/06) - 19:30:00,1:13:9.129,23.598,39,1:43.317,3,47.144 km/h
9,2,Dennis van der Velden,110549 | ZAC A (23/06) - 19:30:00,1:13:9.537,24.006,39,1:43.295,3,47.154 km/h
10,32,Martijn Coeveld,110549 | ZAC A (23/06) - 19:30:00,1:13:11.499,25.968,39,1:43.610,1,47.011 km/h
11,43,Ronald Geleynse,110549 | ZAC A (23/06) - 19:30:00,1:13:11.565,26.034,39,1:44.220,1,46.736 km/h
12,4,Marc Plönes,110549 | ZAC A (23/06) - 19:30:00,1:5:52.118,6 laps,33,1:43.774,33,46.937 km/h
13,44,Don de Leeuw,110549 | ZAC A (23/06) - 19:30:00,1:1:0.500,7 laps,32,1:44.737,3,46.505 km/h
14,56,Raymond Olsthoorn,110578 | ZAC B (23/06) - 19:31:00,1:4:3.811,7 laps,32,1:44.160,12,46.763 km/h
15,133,Johan Struijk,110578 | ZAC B (23/06) - 19:31:00,1:4:3.870,7 laps,32,1:46.987,32,45.527 km/h
16,45,Joost van Giesen,110578 | ZAC B (23/06) - 19:31:00,1:4:3.918,7 laps,32,1:47.304,12,45.393 km/h
17,107,Ricardo Hillegers,110578 | ZAC B (23/06) - 19:31:00,1:4:4.255,7 laps,32,1:48.141,32,45.041 km/h
18,2,Oskar Loman,110578 | ZAC B (23/06) - 19:31:00,1:4:4.353,7 laps,32,1:48.069,32,45.071 km/h
19,42,Leo Perera,110578 | ZAC B (23/06) - 19:31:00,1:4:4.395,7 laps,32,1:48.361,9,44.950 km/h
20,4,Bram van der Velden,110578 | ZAC B (23/06) - 19:31:00,1:4:4.430,7 laps,32,1:47.374,32,45.363 km/h
21,17,Olen Olsthoorn,110578 | ZAC B (23/06) - 19:31:00,1:4:4.512,7 laps,32,1:48.118,9,45.051 km/h
22,24,Ole Olsthoorn,110578 | ZAC B (23/06) - 19:31:00,1:4:4.556,7 laps,32,1:47.758,20,45.201 km/h
23,14,Jurn Bezemer,110578 | ZAC B (23/06) - 19:31:00,1:4:4.642,7 laps,32,1:47.877,11,45.151 km/h
24,19,Tijme Aleman,110578 | ZAC B (23/06) - 19:31:00,1:4:5.037,7 laps,32,1:48.375,10,44.944 km/h
25,148,Kees Jan Bongaertz,110578 | ZAC B (23/06) - 19:31:00,1:4:5.376,7 laps,32,1:48.721,2,44.801 km/h
26,12,Constantijn Dekker,110578 | ZAC B (23/06) - 19:31:00,1:4:5.475,7 laps,32,1:48.420,32,44.925 km/h
27,11,Thomas Vobl,110578 | ZAC B (23/06) - 19:31:00,1:4:5.500,7 laps,32,1:49.471,32,44.494 km/h
28,58,Bart Vons,110578 | ZAC B (23/06) - 19:31:00,1:4:5.598,7 laps,32,1:48.291,32,44.979 km/h
