Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,107,Jack Dorresteijn,110553 | ZAC A (21/07) - 19:30:00,1:12:50.378,0.000,39,1:42.941,37,47.316 km/h
2,50,Siem Woldesilassie,110553 | ZAC A (21/07) - 19:30:00,1:12:50.985,0.607,39,1:42.523,39,47.509 km/h
3,114,Leon Hofman,110553 | ZAC A (21/07) - 19:30:00,1:12:51.091,0.713,39,1:43.419,39,47.098 km/h
4,40,Kees Pameijer,110553 | ZAC A (21/07) - 19:30:00,1:12:51.161,0.783,39,1:43.690,39,46.975 km/h
5,56,Tom de Vreede,110553 | ZAC A (21/07) - 19:30:00,1:12:51.793,1.415,39,1:43.507,39,47.058 km/h
6,126,Mark Verbeek,110553 | ZAC A (21/07) - 19:30:00,1:12:52.292,1.914,39,1:40.486,39,48.472 km/h
7,24,Joost Slingerland,110553 | ZAC A (21/07) - 19:30:00,1:12:52.421,2.043,39,1:40.614,39,48.411 km/h
8,100,Arie Pieter van Etten,110553 | ZAC A (21/07) - 19:30:00,1:12:52.752,2.374,39,1:41.485,39,47.995 km/h
9,42,Sam Lagerwij,110553 | ZAC A (21/07) - 19:30:00,1:12:52.938,2.560,39,1:40.706,39,48.367 km/h
10,10,Hans Meerbeek,110553 | ZAC A (21/07) - 19:30:00,1:12:53.101,2.723,39,1:43.491,34,47.065 km/h
11,58,Johan Olsthoorn,110553 | ZAC A (21/07) - 19:30:00,1:12:53.867,3.489,39,1:41.752,39,47.869 km/h
12,122,Bram Hillenaar,110553 | ZAC A (21/07) - 19:30:00,1:12:54.530,4.152,39,1:42.893,33,47.338 km/h
13,28,Jan Gudde,110553 | ZAC A (21/07) - 19:30:00,1:12:54.731,4.353,39,1:42.805,39,47.379 km/h
14,125,Jan-Willem Huising,110553 | ZAC A (21/07) - 19:30:00,1:12:54.759,4.381,39,1:41.702,39,47.893 km/h
15,76,Erik van Trigt,110553 | ZAC A (21/07) - 19:30:00,1:12:55.124,4.746,39,1:42.777,39,47.392 km/h
16,52,Rik Bisschop,110553 | ZAC A (21/07) - 19:30:00,1:12:55.548,5.170,39,1:42.147,39,47.684 km/h
17,43,Ronald Geleynse,110553 | ZAC A (21/07) - 19:30:00,1:12:55.940,5.562,39,1:43.820,39,46.916 km/h
18,5,Rob uit de Bosch,110553 | ZAC A (21/07) - 19:30:00,1:12:55.953,5.575,39,1:42.722,39,47.417 km/h
19,45,Alexander van den Berg van Saparoea,110553 | ZAC A (21/07) - 19:30:00,1:12:56.390,6.012,39,1:44.289,34,46.705 km/h
20,44,Don de Leeuw,110553 | ZAC A (21/07) - 19:30:00,1:12:56.496,6.118,39,1:42.840,39,47.363 km/h
21,4,Marc Plönes,110553 | ZAC A (21/07) - 19:30:00,1:12:56.809,6.431,39,1:44.119,39,46.781 km/h
22,29,Richard Schouten,110553 | ZAC A (21/07) - 19:30:00,1:12:59.236,8.858,39,1:45.125,38,46.333 km/h
23,1,Guido Smit,110553 | ZAC A (21/07) - 19:30:00,1:12:53.081,6 laps,33,1:41.529,33,47.974 km/h
24,107,Ricardo Hillegers,110582 | ZAC B (21/07) - 19:31:00,1:3:35.401,7 laps,32,1:43.329,32,47.139 km/h
25,2,Oskar Loman,110582 | ZAC B (21/07) - 19:31:00,1:3:35.461,7 laps,32,1:43.230,32,47.184 km/h
26,24,Ole Olsthoorn,110582 | ZAC B (21/07) - 19:31:00,1:3:35.588,7 laps,32,1:43.230,32,47.184 km/h
27,146,Marc Kramer,110582 | ZAC B (21/07) - 19:31:00,1:3:35.748,7 laps,32,1:44.153,32,46.766 km/h
28,60,Ricardo Jansen,110582 | ZAC B (21/07) - 19:31:00,1:3:35.882,7 laps,32,1:45.030,32,46.375 km/h
29,19,Tijme Aleman,110582 | ZAC B (21/07) - 19:31:00,1:3:36.287,7 laps,32,1:42.916,32,47.328 km/h
30,51,Eric Weber,110582 | ZAC B (21/07) - 19:31:00,1:3:36.974,7 laps,32,1:44.968,32,46.403 km/h
31,161,Jurgen van der Welle,110582 | ZAC B (21/07) - 19:31:00,1:3:37.411,7 laps,32,1:43.888,32,46.885 km/h
32,163,Linda Kuiper,110582 | ZAC B (21/07) - 19:31:00,1:3:38.361,7 laps,32,1:46.687,32,45.655 km/h
33,110,Elise van Dijk,110582 | ZAC B (21/07) - 19:31:00,1:3:38.380,7 laps,32,1:46.514,32,45.729 km/h
34,56,Raymond Olsthoorn,110582 | ZAC B (21/07) - 19:31:00,1:3:38.498,7 laps,32,1:45.967,32,45.965 km/h
35,166,Feline Solleveld,110582 | ZAC B (21/07) - 19:31:00,1:3:38.729,7 laps,32,1:46.233,32,45.850 km/h
36,84,Robin Hendriks,110582 | ZAC B (21/07) - 19:31:00,1:3:38.946,7 laps,32,1:46.208,32,45.861 km/h
37,13,Jeroen Wieringa,110582 | ZAC B (21/07) - 19:31:00,1:3:39.059,7 laps,32,1:46.002,32,45.950 km/h
38,162,Henk Scholte Albers,110582 | ZAC B (21/07) - 19:31:00,1:3:41.440,7 laps,32,1:47.686,32,45.232 km/h
