Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,8,Jan Kwakkel,110573 | ZAC B (19/05) - 19:31:00,1:2:33.558,0.000,29,1:53.211,4,43.024 km/h
2,123,Lars van Schie,110573 | ZAC B (19/05) - 19:31:00,1:2:33.646,0.088,29,1:52.952,3,43.123 km/h
3,7,Sijmen Kwakkel,110573 | ZAC B (19/05) - 19:31:00,1:2:33.769,0.211,29,1:50.765,2,43.974 km/h
4,11,Thomas Vobl,110573 | ZAC B (19/05) - 19:31:00,1:2:34.063,0.505,29,1:53.173,4,43.039 km/h
5,24,Ole Olsthoorn,110573 | ZAC B (19/05) - 19:31:00,1:2:34.229,0.671,29,1:59.037,3,40.918 km/h
6,34,Bram Veenhof,110573 | ZAC B (19/05) - 19:31:00,1:2:40.892,7.334,29,1:53.567,4,42.889 km/h
7,28,Bas Neuteboom,110573 | ZAC B (19/05) - 19:31:00,1:2:41.164,7.606,29,2:7.141,6,38.310 km/h
8,138,Stijn Weeber,110573 | ZAC B (19/05) - 19:31:00,1:2:41.651,8.093,29,1:55.107,17,42.315 km/h
9,18,Ot Kuiper,110573 | ZAC B (19/05) - 19:31:00,1:4:37.403,1 lap,28,1:53.737,14,42.825 km/h
10,50,Siem Woldesilassie,110544 | ZAC A (19/05) - 19:30:00,1:13:44.960,4 laps,25,1:51.497,10,43.685 km/h
11,39,Roderick Loykens,110544 | ZAC A (19/05) - 19:30:00,1:13:45.357,4 laps,25,1:50.904,3,43.919 km/h
12,48,Linus Kloepfer,110544 | ZAC A (19/05) - 19:30:00,1:13:45.569,4 laps,25,1:57.304,1,41.523 km/h
13,2,Dennis van der Velden,110544 | ZAC A (19/05) - 19:30:00,1:14:27.182,4 laps,25,1:57.573,2,41.428 km/h
14,1,Guido Smit,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
15,3,Tim van der Velden,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
16,4,Marc Plönes,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
17,5,Rob uit de Bosch,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
18,6,Teun Berkhout,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
19,7,Caiden Jeurissen,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
20,8,Jasper Hupkes,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
21,9,Sander Huisson,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
22,10,Hans Meerbeek,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
23,11,Niels van Vliet,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
24,12,David van Aalst,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
25,14,Tim Bennis,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
26,15,Mathijs Bodde,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
27,16,Peter Fils,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
28,17,Juul Hubert,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
29,18,Robbert Schaap,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
30,19,Maxim Harteloh,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
31,20,Robin Schoew,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
32,21,Erik de Niet,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
33,22,Jaco de Hoog,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
34,23,Joost te Braake,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
35,24,Joost Slingerland,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
36,25,Ernst Fidom,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
37,26,Daan Hogenelst,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
38,51,Maurits Oskam,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
39,27,Jianhao Wu,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
40,28,Jan Gudde,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
41,29,Richard Schouten,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
42,30,Pieter Bekker,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
43,31,Alwin Niewold,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
44,32,Martijn Coeveld,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
45,33,Eibert van 't Hof,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
46,34,Timo de Waard,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
47,35,Ralph van der Meer,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
48,36,Rikkie Dijkhuizen,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
49,37,Julian Kerklaan,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
50,38,Bart Vonk,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
51,40,Kees Pameijer,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
52,41,Bob van den Berg,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
53,46,Hugo Esteban Escudero,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
54,42,Sam Lagerwij,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
55,43,Ronald Geleynse,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
56,44,Don de Leeuw,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
57,45,Alexander van den Berg van Saparoea,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
58,47,Arjen Koene,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
59,49,Max Etalle,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
60,52,Rik Bisschop,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
61,53,Melvin Straathof,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
62,54,Teunis de Beer,110544 | ZAC A (19/05) - 19:30:00,0.000,0.000,-,0.000,-,-
63,1,Luuk Nijhoff,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
64,2,Oskar Loman,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
65,3,Rombout Loman,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
66,4,Bram van der Velden,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
67,5,Albert Berkhout,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
68,6,Bram Berkhout,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
69,9,Milou van de Beek,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
70,10,Sofie Freeke,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
71,12,Constantijn Dekker,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
72,13,Jeroen Wieringa,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
73,14,Jurn Bezemer,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
74,15,Jeroen de Keijzer,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
75,16,Lucas Geerlings,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
76,17,Olen Olsthoorn,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
77,19,Tijme Aleman,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
78,21,Arco Flikweert,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
79,22,Jesse Flikweert,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
80,23,Marc Semmeling,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
81,25,Johan Olsthoorn,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
82,26,Erik Mooij,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
83,27,Mark Veenstra,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
84,29,Sanne Kerklaan,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
85,30,Niels Levelt,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
86,31,Dorien van Iwaarden,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
87,32,Björn Christian Benschop,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
88,33,Johan Bakker,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
89,35,Anton Koopman,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
90,36,Paul van Sighem,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
91,37,Rob van der Liende,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
92,38,Femke van Welie,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
93,39,René Ammerlaan,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
94,40,Bart van Leeuwen,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
95,41,Mark van der Weide,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
96,42,Leo Perera,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
97,43,André Mook,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
98,44,Ard Koeleman,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
99,45,Joost van Giesen,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
100,46,Saar Mooij,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
101,47,Faniel Haile,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
102,48,Nanky Fernandez Bonilla,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
103,50,Niek Adema,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
104,51,Eric Weber,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
105,52,Nienke Bennis,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
106,53,Floor Sigmond,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
107,54,Maurits van der Heijde,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
108,55,Mette Stoel,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
109,56,Raymond Olsthoorn,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
110,57,Djurre Aleman,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
111,58,Bart Vons,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
112,59,Qiyan Wang,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
113,60,Ricardo Jansen,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
114,61,Rémy van Es,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
115,62,Harmen Land,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
116,63,Izzy Kreuk,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
117,64,Daniel El Helou,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
118,85,Frezer Ja Netserab,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
119,92,Esrom Netserab,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
120,105,Marco van Koppen,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
121,137,Stijn van Liefland,110573 | ZAC B (19/05) - 19:31:00,0.000,0.000,-,0.000,-,-
122,-??-,- GZ-75296 -,,0.000,0.000,-,0.000,-,-
