Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,20,Robin Schoew,110540 | ZAC A (21/04) - 19:30:00,1:9:48.761,0.000,37,1:40.874,4,48.286 km/h
2,51,Maurits Oskam,110540 | ZAC A (21/04) - 19:30:00,1:9:49.006,0.245,37,1:41.888,37,47.805 km/h
3,37,Julian Kerklaan,110540 | ZAC A (21/04) - 19:30:00,1:9:49.602,0.841,37,1:40.868,4,48.289 km/h
4,48,Linus Kloepfer,110540 | ZAC A (21/04) - 19:30:00,1:9:49.664,0.903,37,1:43.070,37,47.257 km/h
5,6,Teun Berkhout,110540 | ZAC A (21/04) - 19:30:00,1:9:49.833,1.072,37,1:40.870,4,48.288 km/h
6,25,Ernst Fidom,110540 | ZAC A (21/04) - 19:30:00,1:9:50.475,1.714,37,1:42.397,37,47.568 km/h
7,14,Tim Bennis,110540 | ZAC A (21/04) - 19:30:00,1:9:51.849,3.088,37,1:40.801,4,48.321 km/h
8,8,Jasper Hupkes,110540 | ZAC A (21/04) - 19:30:00,1:9:52.682,3.921,37,1:40.752,4,48.344 km/h
9,41,Bob van den Berg,110540 | ZAC A (21/04) - 19:30:00,1:9:58.792,10.031,37,1:41.962,19,47.771 km/h
10,84,Micky Alberts,110540 | ZAC A (21/04) - 19:30:00,1:10:3.731,14.970,37,1:42.085,19,47.713 km/h
11,21,Erik de Niet,110540 | ZAC A (21/04) - 19:30:00,1:8:21.168,1 lap,36,1:44.187,14,46.751 km/h
12,76,Erik van Trigt,110540 | ZAC A (21/04) - 19:30:00,1:9:51.202,1 lap,36,1:42.721,36,47.418 km/h
13,1,Guido Smit,110540 | ZAC A (21/04) - 19:30:00,1:9:52.985,1 lap,36,1:41.930,18,47.786 km/h
14,39,Roderick Loykens,110540 | ZAC A (21/04) - 19:30:00,1:9:54.063,1 lap,36,1:43.158,3,47.217 km/h
15,22,Jaco de Hoog,110540 | ZAC A (21/04) - 19:30:00,1:9:54.964,1 lap,36,1:43.433,3,47.091 km/h
16,4,Marc Plönes,110540 | ZAC A (21/04) - 19:30:00,1:9:57.523,1 lap,36,1:44.075,3,46.801 km/h
17,40,Kees Pameijer,110540 | ZAC A (21/04) - 19:30:00,1:9:57.617,1 lap,36,1:44.366,25,46.670 km/h
18,35,Ralph van der Meer,110540 | ZAC A (21/04) - 19:30:00,1:9:36.862,2 laps,35,1:45.465,18,46.184 km/h
19,44,Don de Leeuw,110540 | ZAC A (21/04) - 19:30:00,1:9:37.331,2 laps,35,1:45.781,3,46.046 km/h
20,45,Alexander van den Berg van Saparoea,110540 | ZAC A (21/04) - 19:30:00,1:9:37.773,2 laps,35,1:47.163,17,45.452 km/h
21,82,Kick Mijlhoff,110540 | ZAC A (21/04) - 19:30:00,1:9:37.989,2 laps,35,1:46.458,3,45.753 km/h
22,43,Ronald Geleynse,110540 | ZAC A (21/04) - 19:30:00,1:9:38.640,2 laps,35,1:47.188,17,45.442 km/h
23,29,Richard Schouten,110540 | ZAC A (21/04) - 19:30:00,1:9:38.838,2 laps,35,1:47.013,17,45.516 km/h
24,45,Joost van Giesen,110569 | ZAC B (21/04) - 19:31:00,1:1:29.906,6 laps,31,1:49.958,31,44.297 km/h
25,8,Jan Kwakkel,110569 | ZAC B (21/04) - 19:31:00,1:1:29.973,6 laps,31,1:50.134,31,44.226 km/h
26,4,Bram van der Velden,110569 | ZAC B (21/04) - 19:31:00,1:1:29.985,6 laps,31,1:50.218,31,44.192 km/h
27,2,Oskar Loman,110569 | ZAC B (21/04) - 19:31:00,1:1:30.151,6 laps,31,1:49.286,20,44.569 km/h
28,11,Thomas Vobl,110569 | ZAC B (21/04) - 19:31:00,1:1:30.225,6 laps,31,1:50.225,31,44.190 km/h
29,24,Ole Olsthoorn,110569 | ZAC B (21/04) - 19:31:00,1:1:30.311,6 laps,31,1:50.441,31,44.103 km/h
30,107,Ricardo Hillegers,110569 | ZAC B (21/04) - 19:31:00,1:1:30.316,6 laps,31,1:50.289,31,44.164 km/h
31,51,Eric Weber,110569 | ZAC B (21/04) - 19:31:00,1:1:30.380,6 laps,31,1:50.195,31,44.202 km/h
32,14,Jurn Bezemer,110569 | ZAC B (21/04) - 19:31:00,1:1:30.465,6 laps,31,1:50.546,31,44.061 km/h
33,25,Johan Olsthoorn,110569 | ZAC B (21/04) - 19:31:00,1:1:30.468,6 laps,31,1:50.345,21,44.142 km/h
34,43,André Mook,110569 | ZAC B (21/04) - 19:31:00,1:1:30.678,6 laps,31,1:50.506,31,44.077 km/h
35,114,Ricardo Jansen,110569 | ZAC B (21/04) - 19:31:00,1:1:31.058,6 laps,31,1:51.169,31,43.814 km/h
36,19,Tijme Aleman,110569 | ZAC B (21/04) - 19:31:00,1:1:31.335,6 laps,31,1:50.713,31,43.995 km/h
37,57,Djurre Aleman,110569 | ZAC B (21/04) - 19:31:00,1:1:31.346,6 laps,31,1:51.095,31,43.844 km/h
38,26,Erik Mooij,110569 | ZAC B (21/04) - 19:31:00,1:1:31.454,6 laps,31,1:51.128,31,43.831 km/h
39,33,Rik Bisschop,110569 | ZAC B (21/04) - 19:31:00,1:1:31.562,6 laps,31,1:51.234,31,43.789 km/h
40,5,Albert Berkhout,110569 | ZAC B (21/04) - 19:31:00,1:1:31.725,6 laps,31,1:51.143,31,43.825 km/h
41,34,Bram Veenhof,110569 | ZAC B (21/04) - 19:31:00,1:1:31.903,6 laps,31,1:51.100,31,43.842 km/h
42,56,Raymond Olsthoorn,110569 | ZAC B (21/04) - 19:31:00,1:1:32.182,6 laps,31,1:49.200,21,44.604 km/h
43,46,Saar Mooij,110569 | ZAC B (21/04) - 19:31:00,1:1:32.480,6 laps,31,1:52.029,31,43.478 km/h
