Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,14,Tim Bennis,110542 | ZAC A (05/05) - 19:30:00,1:21:23.711,0.000,44,1:43.528,3,47.048 km/h
2,11,Niels van Vliet,110542 | ZAC A (05/05) - 19:30:00,1:21:23.996,0.285,44,1:44.128,11,46.777 km/h
3,34,Timo de Waard,110542 | ZAC A (05/05) - 19:30:00,1:21:24.676,0.965,44,1:42.574,19,47.486 km/h
4,84,Micky Alberts,110542 | ZAC A (05/05) - 19:30:00,1:21:25.516,1.805,44,1:44.541,2,46.592 km/h
5,96,Wilfred Slieker,110542 | ZAC A (05/05) - 19:30:00,1:21:29.258,5.547,44,1:44.262,4,46.717 km/h
6,95,Janno Meijer,110542 | ZAC A (05/05) - 19:30:00,1:22:19.896,1 lap,43,1:44.325,11,46.689 km/h
7,20,Robin Schoew,110542 | ZAC A (05/05) - 19:30:00,1:22:23.264,1 lap,43,1:43.536,3,47.045 km/h
8,16,Peter Fils,110542 | ZAC A (05/05) - 19:30:00,1:22:23.510,1 lap,43,1:42.911,19,47.330 km/h
9,6,Teun Berkhout,110542 | ZAC A (05/05) - 19:30:00,1:22:23.836,1 lap,43,1:44.143,11,46.770 km/h
10,40,Kees Pameijer,110542 | ZAC A (05/05) - 19:30:00,1:22:24.056,1 lap,43,1:43.539,12,47.043 km/h
11,54,Teunis de Beer,110542 | ZAC A (05/05) - 19:30:00,1:22:24.122,1 lap,43,1:44.091,3,46.794 km/h
12,94,Henk Meliesie,110542 | ZAC A (05/05) - 19:30:00,1:22:24.171,1 lap,43,1:44.584,4,46.573 km/h
13,17,Juul Hubert,110542 | ZAC A (05/05) - 19:30:00,1:22:24.415,1 lap,43,1:44.316,11,46.693 km/h
14,93,Jelmer Venema,110542 | ZAC A (05/05) - 19:30:00,1:22:24.432,1 lap,43,1:42.676,19,47.439 km/h
15,43,Ronald Geleynse,110542 | ZAC A (05/05) - 19:30:00,1:22:27.270,1 lap,43,1:44.986,3,46.395 km/h
16,24,Joost Slingerland,110542 | ZAC A (05/05) - 19:30:00,1:22:27.332,1 lap,43,1:44.451,4,46.632 km/h
17,5,Rob uit de Bosch,110542 | ZAC A (05/05) - 19:30:00,1:22:27.335,1 lap,43,1:44.425,4,46.644 km/h
18,44,Don de Leeuw,110542 | ZAC A (05/05) - 19:30:00,1:22:28.269,1 lap,43,1:44.567,11,46.581 km/h
19,42,Sam Lagerwij,110542 | ZAC A (05/05) - 19:30:00,1:22:29.388,1 lap,43,1:43.056,19,47.264 km/h
20,32,Martijn Coeveld,110542 | ZAC A (05/05) - 19:30:00,1:22:30.106,1 lap,43,1:43.657,19,46.990 km/h
21,22,Jaco de Hoog,110542 | ZAC A (05/05) - 19:30:00,1:22:30.412,1 lap,43,1:44.621,11,46.557 km/h
22,97,Erwin van Dam,110542 | ZAC A (05/05) - 19:30:00,1:22:30.737,1 lap,43,1:42.960,19,47.308 km/h
23,18,Robbert Schaap,110542 | ZAC A (05/05) - 19:30:00,1:23:9.228,1 lap,43,1:42.792,19,47.385 km/h
24,21,Erik de Niet,110542 | ZAC A (05/05) - 19:30:00,1:21:37.593,2 laps,42,1:44.080,4,46.799 km/h
25,23,Joost te Braake,110542 | ZAC A (05/05) - 19:30:00,1:21:37.766,2 laps,42,1:43.930,7,46.866 km/h
26,10,Hans Meerbeek,110542 | ZAC A (05/05) - 19:30:00,1:21:38.020,2 laps,42,1:42.906,19,47.333 km/h
27,2,Dennis van der Velden,110542 | ZAC A (05/05) - 19:30:00,1:22:27.065,2 laps,42,1:44.566,4,46.581 km/h
28,29,Richard Schouten,110542 | ZAC A (05/05) - 19:30:00,1:15:46.346,7 laps,37,1:47.747,3,45.206 km/h
29,114,Brendan Berendse,110571 | ZAC B (05/05) - 19:31:00,1:6:56.919,11 laps,33,1:44.221,33,46.735 km/h
30,7,Sijmen Kwakkel,110571 | ZAC B (05/05) - 19:31:00,1:6:57.089,11 laps,33,1:43.974,33,46.846 km/h
31,8,Jan Kwakkel,110571 | ZAC B (05/05) - 19:31:00,1:6:57.147,11 laps,33,1:44.011,33,46.830 km/h
32,56,Raymond Olsthoorn,110571 | ZAC B (05/05) - 19:31:00,1:6:57.422,11 laps,33,1:44.430,33,46.642 km/h
33,45,Joost van Giesen,110571 | ZAC B (05/05) - 19:31:00,1:6:57.523,11 laps,33,1:44.481,33,46.619 km/h
34,4,Bram van der Velden,110571 | ZAC B (05/05) - 19:31:00,1:6:59.099,11 laps,33,1:45.712,33,46.076 km/h
35,2,Oskar Loman,110571 | ZAC B (05/05) - 19:31:00,1:6:59.227,11 laps,33,1:45.700,33,46.081 km/h
36,117,Olen Olsthoorn,110571 | ZAC B (05/05) - 19:31:00,1:6:59.307,11 laps,33,1:46.009,33,45.947 km/h
37,24,Ole Olsthoorn,110571 | ZAC B (05/05) - 19:31:00,1:6:59.347,11 laps,33,1:45.853,33,46.015 km/h
38,107,Ricardo Hillegers,110571 | ZAC B (05/05) - 19:31:00,1:6:59.363,11 laps,33,1:46.642,33,45.674 km/h
39,36,Paul van Sighem,110571 | ZAC B (05/05) - 19:31:00,1:6:59.378,11 laps,33,1:45.867,33,46.009 km/h
40,60,Ricardo Jansen,110571 | ZAC B (05/05) - 19:31:00,1:6:59.615,11 laps,33,1:46.269,33,45.835 km/h
41,51,Eric Weber,110571 | ZAC B (05/05) - 19:31:00,1:6:59.771,11 laps,33,1:46.169,33,45.878 km/h
42,127,Berdine Bakker,110571 | ZAC B (05/05) - 19:31:00,1:6:59.809,11 laps,33,1:46.577,33,45.702 km/h
43,133,Johan Struijk,110571 | ZAC B (05/05) - 19:31:00,1:6:59.879,11 laps,33,1:46.222,33,45.855 km/h
