Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
42,17,Melvin Straathof,110570 | ZAC B (28/04) - 19:31:00,56:47.637,8 laps,28,1:51.925,9,43.518 km/h
43,56,Raymond Olsthoorn,110570 | ZAC B (28/04) - 19:31:00,57:9.351,8 laps,28,1:40.553,29,48.440 km/h
44,45,Joost van Giesen,110570 | ZAC B (28/04) - 19:31:00,57:16.275,8 laps,28,1:47.263,29,45.410 km/h
45,29,Sanne Kerklaan,110570 | ZAC B (28/04) - 19:31:00,56:39.954,9 laps,27,1:54.917,6,42.385 km/h
46,13,Jeroen Wieringa,110570 | ZAC B (28/04) - 19:31:00,56:43.501,9 laps,27,1:52.275,9,43.383 km/h
47,41,Mark van der Weide,110570 | ZAC B (28/04) - 19:31:00,54:45.697,10 laps,26,1:51.635,6,43.631 km/h
48,23,Marc Semmeling,110570 | ZAC B (28/04) - 19:31:00,25:7.723,24 laps,12,1:51.941,9,43.512 km/h
49,6,Bram Berkhout,110570 | ZAC B (28/04) - 19:31:00,20:8.525,26 laps,10,1:51.932,9,43.516 km/h
50,1,Guido Smit,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
51,2,Dennis van der Velden,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
52,3,Tim van der Velden,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
53,4,Marc Plönes,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
54,5,Rob uit de Bosch,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
55,6,Teun Berkhout,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
56,7,Caiden Jeurissen,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
57,8,Jasper Hupkes,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
58,9,Sander Huisson,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
59,10,Hans Meerbeek,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
60,76,Erik van Trigt,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
61,11,Niels van Vliet,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
62,12,David van Aalst,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
63,13,Daniel El Helou,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
64,14,Tim Bennis,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
65,15,Mathijs Bodde,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
66,16,Peter Fils,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
67,17,Juul Hubert,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
68,18,Robbert Schaap,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
69,19,Maxim Harteloh,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
70,20,Robin Schoew,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
71,21,Erik de Niet,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
72,22,Jaco de Hoog,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
73,23,Joost te Braake,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
74,77,Tijn Voerman,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
75,24,Joost Slingerland,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
76,35,Ernst Fidom,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
77,26,Daan Hogenelst,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
78,78,Kees van Prooijen,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
79,79,Maurits Oskam,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
80,27,Jianhao Wu,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
81,28,Jan Gudde,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
82,29,Richard Schouten,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
83,1,Luuk Nijhoff,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
84,2,Oskar Loman,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
85,3,Rombout Loman,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
86,4,Bram van der Velden,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
87,76,Hans Kruithof,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
88,5,Albert Berkhout,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
89,6,Bram Berkhout,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
90,7,Sijmen Kwakkel,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
91,8,Jan Kwakkel,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
92,9,Milou van de Beek,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
93,10,Sofie Freeke,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
94,11,Thomas Vobl,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
95,77,Tim van der Eijk,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
96,12,Constantijn Dekker,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
97,13,Jeroen Wieringa,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
98,14,Jurn Bezemer,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
99,15,Jeroen de Keijzer,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
100,16,Lucas Geerlings,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
101,17,Melvin Straathof,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
102,18,Ot Kuiper,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
103,19,Tijme Aleman,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
104,20,Hugo Esteban Escudero,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
105,21,Arco Flikweert,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
106,22,Jesse Flikweert,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
107,23,Marc Semmeling,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
108,78,Daniek van der Kaaij,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
109,24,Ole Olsthoorn,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
110,25,Johan Olsthoorn,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
111,26,Erik Mooij,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
112,27,Mark Veenstra,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
113,28,Bas Neuteboom,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
114,82,Nienke Bennis,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
115,84,Robin Hendriks,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
116,29,Sanne Kerklaan,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
117,30,Niels Levelt,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
118,86,Rob Vollebregt,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
119,31,Dorien van Iwaarden,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
120,32,Björn Christian Benschop,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
121,33,Rik Bisschop,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
122,34,Bram Veenhof,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
123,1,Guido Smit,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
124,2,Dennis van der Velden,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
125,3,Tim van der Velden,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
126,4,Marc Plönes,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
127,5,Rob uit de Bosch,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
128,6,Teun Berkhout,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
129,7,Caiden Jeurissen,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
130,8,Jasper Hupkes,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
131,9,Sander Huisson,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
132,10,Hans Meerbeek,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
133,76,Erik van Trigt,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
134,11,Niels van Vliet,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
135,12,David van Aalst,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
136,13,Daniel El Helou,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
137,14,Tim Bennis,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
138,15,Mathijs Bodde,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
139,16,Peter Fils,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
140,17,Juul Hubert,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
141,18,Robbert Schaap,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
142,19,Maxim Harteloh,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
143,20,Robin Schoew,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
144,21,Erik de Niet,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
145,22,Jaco de Hoog,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
146,23,Joost te Braake,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
147,24,Joost Slingerland,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
148,,Ernst Fidom,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
149,26,Daan Hogenelst,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
150,79,Maurits Oskam,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
151,27,Jianhao Wu,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
152,28,Jan Gudde,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
153,29,Richard Schouten,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
154,80,Finn Bouwer,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
155,81,Daniël Weeder,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
156,82,Siem Woldesilassie,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
157,30,Pieter Bekker,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
158,31,Alwin Niewold,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
159,32,Martijn Coeveld,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
160,33,Eibert van 't Hof,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
161,34,Timo de Waard,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
162,35,Ralph van der Meer,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
163,36,Rikkie Dijkhuizen,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
164,37,Julian Kerklaan,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
165,38,Bart Vonk,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
166,39,Roderick Loykens,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
167,83,Rodolfo Giovanni Niels Gervasio,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
168,40,Kees Pameijer,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
169,84,Micky Alberts,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
170,41,Bob van den Berg,110538 | ZAC A (07/04) - 19:30:00,0.000,0.000,-,0.000,-,-
171,1,Guido Smit,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
172,2,Dennis van der Velden,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
173,3,Tim van der Velden,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
174,4,Marc Plönes,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
175,5,Rob uit de Bosch,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
176,6,Teun Berkhout,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
177,7,Caiden Jeurissen,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
178,8,Jasper Hupkes,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
179,9,Sander Huisson,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
180,10,Hans Meerbeek,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
181,76,Erik van Trigt,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
182,11,Niels van Vliet,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
183,12,David van Aalst,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
184,13,Daniel El Helou,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
185,14,Tim Bennis,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
186,15,Mathijs Bodde,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
187,16,Peter Fils,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
188,17,Juul Hubert,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
189,18,Robbert Schaap,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
190,19,Maxim Harteloh,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
191,20,Robin Schoew,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
192,21,Erik de Niet,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
193,23,Joost te Braake,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
194,24,Joost Slingerland,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
195,25,Ernst Fidom,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
196,26,Daan Hogenelst,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
197,51,Maurits Oskam,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
198,27,Jianhao Wu,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
199,28,Jan Gudde,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
200,29,Richard Schouten,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
201,50,Siem Woldesilassie,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
202,30,Pieter Bekker,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
203,31,Alwin Niewold,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
204,32,Martijn Coeveld,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
205,33,Eibert van 't Hof,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
206,34,Timo de Waard,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
207,35,Ralph van der Meer,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
208,37,Julian Kerklaan,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
209,38,Bart Vonk,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
210,39,Roderick Loykens,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
211,83,Rodolfo Giovanni Niels Gervasio,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
212,40,Kees Pameijer,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
213,41,Bob van den Berg,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
214,46,Hugo Esteban Escudero,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
215,42,Sam Lagerwij,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
216,43,Ronald Geleynse,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
217,44,Don de Leeuw,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
218,45,Alexander van den Berg van Saparoea,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
219,85,Splinter van 't Hoff,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
220,47,Arjen Koene,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
221,48,Linus Kloepfer,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
222,86,Robert de Hoog,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
223,49,Max Etalle,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
224,87,Lucas Van Dijk,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
225,88,John Zwinkels,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
226,89,Matthijs Bunnik,110539 | ZAC A (14/04) - 19:30:00,0.000,0.000,-,0.000,-,-
227,1,Guido Smit,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
228,2,Dennis van der Velden,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
229,3,Tim van der Velden,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
230,4,Marc Plönes,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
231,5,Rob uit de Bosch,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
232,6,Teun Berkhout,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
233,7,Caiden Jeurissen,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
234,8,Jasper Hupkes,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
235,9,Sander Huisson,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
236,10,Hans Meerbeek,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
237,76,Erik van Trigt,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
238,11,Niels van Vliet,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
239,12,David van Aalst,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
240,13,Daniel El Helou,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
241,14,Tim Bennis,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
242,15,Mathijs Bodde,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
243,16,Peter Fils,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
244,17,Juul Hubert,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
245,18,Robbert Schaap,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
246,19,Maxim Harteloh,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
247,20,Robin Schoew,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
248,21,Erik de Niet,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
249,22,Jaco de Hoog,110540 | ZAC A (21/04) - 19:30:00,0.000,0.000,-,0.000,-,-
