Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,19,Maxim Harteloh,110541 | ZAC A (28/04) - 19:30:00,1:7:47.442,0.000,36,1:46.656,11,45.668 km/h
2,91,Sten Verzijl,110541 | ZAC A (28/04) - 19:30:00,1:7:47.496,0.054,36,1:43.398,8,47.107 km/h
3,7,Caiden Jeurissen,110541 | ZAC A (28/04) - 19:30:00,1:7:47.680,0.238,36,1:44.161,9,46.762 km/h
4,18,Robbert Schaap,110541 | ZAC A (28/04) - 19:30:00,1:7:47.849,0.407,36,1:41.992,8,47.757 km/h
5,80,Finn Bouwer,110541 | ZAC A (28/04) - 19:30:00,1:7:48.203,0.761,36,1:43.844,9,46.905 km/h
6,23,Joost te Braake,110541 | ZAC A (28/04) - 19:30:00,1:7:49.012,1.570,36,1:46.231,10,45.851 km/h
7,17,Juul Hubert,110541 | ZAC A (28/04) - 19:30:00,1:7:49.536,2.094,36,1:44.741,10,46.503 km/h
8,84,Micky Alberts,110541 | ZAC A (28/04) - 19:30:00,1:7:49.598,2.156,36,1:45.009,8,46.385 km/h
9,28,Jan Gudde,110541 | ZAC A (28/04) - 19:30:00,1:7:49.727,2.285,36,1:44.972,10,46.401 km/h
10,25,Ernst Fidom,110541 | ZAC A (28/04) - 19:30:00,1:7:49.763,2.321,36,1:44.667,10,46.536 km/h
11,27,Jianhao Wu,110541 | ZAC A (28/04) - 19:30:00,1:7:49.936,2.494,36,1:44.431,9,46.641 km/h
12,86,Robert de Hoog,110541 | ZAC A (28/04) - 19:30:00,1:7:49.960,2.518,36,1:44.739,10,46.504 km/h
13,32,Martijn Coeveld,110541 | ZAC A (28/04) - 19:30:00,1:7:50.112,2.670,36,1:44.656,10,46.541 km/h
14,8,Jasper Hupkes,110541 | ZAC A (28/04) - 19:30:00,1:7:50.310,2.868,36,1:42.598,8,47.475 km/h
15,10,Hans Meerbeek,110541 | ZAC A (28/04) - 19:30:00,1:7:50.391,2.949,36,1:46.617,11,45.685 km/h
16,22,Jaco de Hoog,110541 | ZAC A (28/04) - 19:30:00,1:7:50.965,3.523,36,1:46.382,10,45.786 km/h
17,44,Don de Leeuw,110541 | ZAC A (28/04) - 19:30:00,1:7:51.100,3.658,36,1:45.287,10,46.262 km/h
18,47,Arjen Koene,110541 | ZAC A (28/04) - 19:30:00,1:7:51.566,4.124,36,1:45.799,11,46.038 km/h
19,88,John Zwinkels,110541 | ZAC A (28/04) - 19:30:00,1:7:53.350,5.908,36,1:46.200,11,45.864 km/h
20,11,Niels van Vliet,110541 | ZAC A (28/04) - 19:30:00,1:7:54.945,7.503,36,1:44.541,9,46.592 km/h
21,36,Rikkie Dijkhuizen,110541 | ZAC A (28/04) - 19:30:00,1:7:57.650,10.208,36,1:43.357,9,47.126 km/h
22,21,Erik de Niet,110541 | ZAC A (28/04) - 19:30:00,1:8:14.560,27.118,36,1:43.236,8,47.181 km/h
23,4,Marc Plönes,110541 | ZAC A (28/04) - 19:30:00,1:7:51.760,3 laps,33,1:47.003,32,45.520 km/h
24,7,Sijmen Kwakkel,110570 | ZAC B (28/04) - 19:31:00,57:9.387,7 laps,29,1:42.329,29,47.599 km/h
25,2,Oskar Loman,110570 | ZAC B (28/04) - 19:31:00,57:9.454,7 laps,29,1:42.220,29,47.650 km/h
26,107,Ricardo Hillegers,110570 | ZAC B (28/04) - 19:31:00,57:9.511,7 laps,29,1:42.641,29,47.455 km/h
27,8,Jan Kwakkel,110570 | ZAC B (28/04) - 19:31:00,57:9.825,7 laps,29,1:42.584,29,47.481 km/h
28,42,Leo Perera,110570 | ZAC B (28/04) - 19:31:00,57:10.065,7 laps,29,1:43.036,29,47.273 km/h
29,117,Olen Olsthoorn,110570 | ZAC B (28/04) - 19:31:00,57:11.147,7 laps,29,1:43.458,29,47.080 km/h
30,4,Bram van der Velden,110570 | ZAC B (28/04) - 19:31:00,57:11.153,7 laps,29,1:43.560,29,47.034 km/h
31,43,André Mook,110570 | ZAC B (28/04) - 19:31:00,57:11.566,7 laps,29,1:44.340,29,46.682 km/h
32,19,Tijme Aleman,110570 | ZAC B (28/04) - 19:31:00,57:12.173,7 laps,29,1:44.769,29,46.491 km/h
33,115,Jaco Bouwer,110570 | ZAC B (28/04) - 19:31:00,56:38.291,8 laps,28,1:51.977,9,43.498 km/h
34,60,Ricardo Jansen,110570 | ZAC B (28/04) - 19:31:00,56:38.503,8 laps,28,1:49.179,11,44.613 km/h
35,119,Marco Van Tol,110570 | ZAC B (28/04) - 19:31:00,56:39.096,8 laps,28,1:52.802,9,43.180 km/h
36,84,Robin Hendriks,110570 | ZAC B (28/04) - 19:31:00,56:39.115,8 laps,28,1:51.320,9,43.755 km/h
37,57,Djurre Aleman,110570 | ZAC B (28/04) - 19:31:00,56:39.493,8 laps,28,1:53.781,6,42.809 km/h
38,86,Rob Vollebregt,110570 | ZAC B (28/04) - 19:31:00,56:39.543,8 laps,28,1:51.669,6,43.618 km/h
39,112,Jeroen Van den Berg,110570 | ZAC B (28/04) - 19:31:00,56:40.374,8 laps,28,1:51.868,9,43.541 km/h
40,28,Bas Neuteboom,110570 | ZAC B (28/04) - 19:31:00,56:40.658,8 laps,28,1:52.120,9,43.443 km/h
41,5,Albert Berkhout,110570 | ZAC B (28/04) - 19:31:00,56:41.351,8 laps,28,1:52.295,9,43.375 km/h
