Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,120,Jasper Kettenis,A,1:13:20.137,0.000,28,1:40.815,19,48.314 km/h
2,37,Julian Kerklaan,A,1:13:20.489,0.352,28,1:41.595,19,47.943 km/h
3,61,Jan Kwakkel,A,1:13:20.576,0.439,28,1:42.103,28,47.705 km/h
4,16,Peter Fils,A,1:13:20.739,0.602,28,1:39.396,21,49.004 km/h
5,18,Robbert Schaap,A,1:13:20.873,0.736,28,1:42.343,20,47.593 km/h
6,23,Joost te Braake,A,1:13:20.962,0.825,28,1:42.642,26,47.454 km/h
7,34,Timo de Waard,A,1:13:21.236,1.099,28,1:42.010,25,47.748 km/h
8,2,Dennis van der Velden,A,1:13:21.533,1.396,28,1:40.706,22,48.367 km/h
9,28,Jan Gudde,A,1:13:21.587,1.450,28,1:42.008,21,47.749 km/h
10,24,Joost Slingerland,A,1:13:21.640,1.503,28,1:42.484,25,47.527 km/h
11,43,Ronald Geleynse,A,1:13:22.270,2.133,28,1:42.939,18,47.317 km/h
12,6,Teun Berkhout,A,1:13:22.402,2.265,28,1:40.881,22,48.283 km/h
13,1,Guido Smit,A,1:13:23.055,2.918,28,1:42.823,22,47.371 km/h
14,8,Jasper Hupkes,A,1:13:23.164,3.027,28,1:42.652,18,47.450 km/h
15,58,Johan Olsthoorn,A,1:13:23.728,3.591,28,1:40.875,23,48.286 km/h
16,21,Erik de Niet,A,1:13:23.896,3.759,28,1:42.413,21,47.560 km/h
17,127,Jack Meijer,A,1:13:24.178,4.041,28,1:42.823,22,47.371 km/h
18,4,Marc Plönes,A,1:13:25.114,4.977,28,1:42.604,10,47.472 km/h
19,52,Rik Bisschop,A,1:13:25.279,5.142,28,1:42.779,18,47.391 km/h
20,5,Rob uit de Bosch,A,1:13:25.360,5.223,28,1:42.405,21,47.564 km/h
21,140,Huub Kappert,A,1:13:26.459,6.322,28,1:42.716,10,47.420 km/h
22,41,Bob van den Berg,A,1:13:28.338,8.201,28,1:42.209,23,47.655 km/h
23,53,Mark Veenstra,A,1:13:31.126,10.989,28,1:43.116,22,47.236 km/h
24,29,Richard Schouten,A,1:13:32.486,12.349,28,1:43.100,22,47.243 km/h
25,97,Erwin van Dam,A,1:13:37.856,17.719,28,1:42.765,10,47.397 km/h
26,50,Siem Woldesilassie,A,1:13:20.707,1 lap,27,1:40.432,22,48.498 km/h
27,17,Juul Hubert,A,50:24.611,2 laps,26,1:41.786,21,47.853 km/h
28,32,Martijn Coeveld,A,1:13:24.029,3 laps,25,1:42.631,19,47.459 km/h
29,137,Keyano Koomans van den Dries,A,50:28.050,6 laps,22,1:46.324,9,45.811 km/h
30,40,Kees Pameijer,A,1:13:21.540,11 laps,17,1:42.779,9,47.391 km/h
31,3,Tim van der Velden,A,0.000,0.000,-,0.000,-,-
32,7,Caiden Jeurissen,A,0.000,0.000,-,0.000,-,-
33,9,Sander Huisson,A,0.000,0.000,-,0.000,-,-
34,10,Hans Meerbeek,A,0.000,0.000,-,0.000,-,-
35,11,Niels van Vliet,A,0.000,0.000,-,0.000,-,-
36,14,Tim Bennis,A,0.000,0.000,-,0.000,-,-
37,15,Mathijs Bodde,A,0.000,0.000,-,0.000,-,-
38,19,Maxim Harteloh,A,0.000,0.000,-,0.000,-,-
39,20,Robin Schoew,A,0.000,0.000,-,0.000,-,-
40,22,Jaco de Hoog,A,0.000,0.000,-,0.000,-,-
41,25,Ernst Fidom,A,0.000,0.000,-,0.000,-,-
42,26,Daan Hogenelst,A,0.000,0.000,-,0.000,-,-
43,51,Maurits Oskam,A,0.000,0.000,-,0.000,-,-
44,27,Jianhao Wu,A,0.000,0.000,-,0.000,-,-
45,30,Pieter Bekker,A,0.000,0.000,-,0.000,-,-
46,31,Alwin Niewold,A,0.000,0.000,-,0.000,-,-
47,33,Eibert van 't Hof,A,0.000,0.000,-,0.000,-,-
48,35,Ralph van der Meer,A,0.000,0.000,-,0.000,-,-
49,38,Bart Vonk,A,0.000,0.000,-,0.000,-,-
50,39,Roderick Loykens,A,0.000,0.000,-,0.000,-,-
51,42,Sam Lagerwij,A,0.000,0.000,-,0.000,-,-
52,44,Don de Leeuw,A,0.000,0.000,-,0.000,-,-
53,45,Alexander van den Berg van Saparoea,A,0.000,0.000,-,0.000,-,-
54,47,Arjen Koene,A,0.000,0.000,-,0.000,-,-
55,48,Linus Kloepfer,A,0.000,0.000,-,0.000,-,-
56,49,Max Etalle,A,0.000,0.000,-,0.000,-,-
57,79,Laurens Kruiper,A,0.000,0.000,-,0.000,-,-
58,54,Teunis de Beer,A,0.000,0.000,-,0.000,-,-
59,101,Rens van der Hout,A,0.000,0.000,-,0.000,-,-
60,102,Timo Verbeek,A,0.000,0.000,-,0.000,-,-
61,55,Jelmer Kraaijeveld,A,0.000,0.000,-,0.000,-,-
62,106,Viktor Huegen,A,0.000,0.000,-,0.000,-,-
63,108,Marco Antonio Bianco,A,0.000,0.000,-,0.000,-,-
64,56,Tom de Vreede,A,0.000,0.000,-,0.000,-,-
65,57,Teun Wissema,A,0.000,0.000,-,0.000,-,-
66,111,Frezer Netserab,A,0.000,0.000,-,0.000,-,-
67,59,Milan de Vreede,A,0.000,0.000,-,0.000,-,-
68,119,Jonas van Dijk,A,0.000,0.000,-,0.000,-,-
69,124,Milan van den Ende,A,0.000,0.000,-,0.000,-,-
70,129,Noud van de Gevel,A,0.000,0.000,-,0.000,-,-
71,148,Werner Wiegers,A,0.000,0.000,-,0.000,-,-
72,147,Sebastian B Jensen,A,0.000,0.000,-,0.000,-,-
73,60,Ties Kuiper,A,0.000,0.000,-,0.000,-,-
74,-??-,- FN-46663 -,,0.000,0.000,-,0.000,-,-
75,-??-,- GZ-75296 -,,0.000,0.000,-,0.000,-,-
76,-??-,- LH-11494 -,,0.000,0.000,-,0.000,-,-
77,-??-,- KK-53082 -,,0.000,0.000,-,0.000,-,-
