Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,185,Mark Vermeulen,B,57:19.034,0.000,30,1:47.875,23,45.152 km/h
2,90,Nicole van Sighem,B,57:19.170,0.136,30,1:47.028,13,45.510 km/h
3,19,Tijme Aleman,B,57:19.175,0.141,30,1:47.104,12,45.477 km/h
4,2,Oskar Loman,B,57:19.323,0.289,30,1:47.221,25,45.428 km/h
5,4,Bram van der Velden,B,57:19.406,0.372,30,1:47.368,12,45.365 km/h
6,7,Sijmen Kwakkel,B,57:19.457,0.423,30,1:45.917,25,45.987 km/h
7,59,Qiyan Wang,B,57:20.548,1.514,30,1:49.053,22,44.665 km/h
8,38,Femke van Welie,B,57:20.578,1.544,30,1:48.501,12,44.892 km/h
9,144,G. Rubio,B,57:20.600,1.566,30,1:47.812,11,45.179 km/h
10,45,Joost van Giesen,B,57:20.715,1.681,30,1:46.536,25,45.720 km/h
11,17,Olen Olsthoorn,B,57:20.716,1.682,30,1:47.911,25,45.137 km/h
12,36,Paul van Sighem,B,57:20.831,1.797,30,1:48.310,12,44.971 km/h
13,24,Ole Olsthoorn,B,57:20.887,1.853,30,1:47.942,25,45.124 km/h
14,107,Ricardo Hillegers,B,57:20.893,1.859,30,1:48.193,12,45.020 km/h
15,161,Jurgen van der Welle,B,57:21.196,2.162,30,1:47.419,23,45.344 km/h
16,14,Jurn Bezemer,B,57:21.475,2.441,30,1:49.229,22,44.593 km/h
17,96,Luuk de Wijn,B,57:21.524,2.490,30,1:47.163,12,45.452 km/h
18,42,Leo Perera,B,57:21.539,2.505,30,1:47.134,24,45.465 km/h
19,51,Eric Weber,B,57:21.811,2.777,30,1:47.252,23,45.415 km/h
20,57,Djurre Aleman,B,57:21.923,2.889,30,1:48.718,6,44.802 km/h
21,146,Marc Kramer,B,57:22.625,3.591,30,1:48.205,24,45.015 km/h
22,138,Stijn Weeber,B,57:22.943,3.909,30,1:48.113,12,45.053 km/h
23,12,Constantijn Dekker,B,57:23.501,4.467,30,1:48.628,13,44.839 km/h
24,28,Bas Neuteboom,B,57:24.181,5.147,30,1:48.697,5,44.811 km/h
25,76,Hans Kruithof,B,57:24.364,5.330,30,1:49.121,24,44.637 km/h
26,29,Sanne Kerklaan,B,57:24.737,5.703,30,1:49.576,6,44.451 km/h
27,18,Ot Kuiper,B,57:25.238,6.204,30,1:49.588,12,44.446 km/h
28,43,André Mook,B,57:26.432,7.398,30,1:50.441,11,44.103 km/h
29,53,Floor Sigmond,B,57:27.346,8.312,30,1:49.184,25,44.611 km/h
30,65,Louis Oudshoorn,B,57:30.450,11.416,30,1:49.782,25,44.368 km/h
31,86,Rob Vollebregt,B,57:30.804,11.770,30,1:48.434,12,44.919 km/h
32,15,Jeroen de Keijzer,B,57:33.587,14.553,30,1:47.319,24,45.386 km/h
33,61,Rémy van Es,B,57:29.678,1 lap,29,1:49.804,6,44.359 km/h
34,170,Marieke Zuidam,B,57:40.073,4 laps,26,1:50.890,5,43.925 km/h
35,11,Thomas Vobl,B,27:30.307,17 laps,13,1:50.978,10,43.890 km/h
36,1,Luuk Nijhoff,B,0.000,0.000,-,0.000,-,-
37,3,Rombout Loman,B,0.000,0.000,-,0.000,-,-
38,5,Albert Berkhout,B,0.000,0.000,-,0.000,-,-
39,6,Bram Berkhout,B,0.000,0.000,-,0.000,-,-
40,9,Milou van de Beek,B,0.000,0.000,-,0.000,-,-
41,10,Sofie Freeke,B,0.000,0.000,-,0.000,-,-
42,13,Jeroen Wieringa,B,0.000,0.000,-,0.000,-,-
43,21,Arco Flikweert,B,0.000,0.000,-,0.000,-,-
44,22,Jesse Flikweert,B,0.000,0.000,-,0.000,-,-
45,23,Marc Semmeling,B,0.000,0.000,-,0.000,-,-
46,25,Melvin Straathof,B,0.000,0.000,-,0.000,-,-
47,30,Niels Levelt,B,0.000,0.000,-,0.000,-,-
48,31,Dorien van Iwaarden,B,0.000,0.000,-,0.000,-,-
49,32,Björn Christian Benschop,B,0.000,0.000,-,0.000,-,-
50,33,Johan Bakker,B,0.000,0.000,-,0.000,-,-
51,34,Bram Veenhof,B,0.000,0.000,-,0.000,-,-
52,35,Anton Koopman,B,0.000,0.000,-,0.000,-,-
53,37,Rob van der Liende,B,0.000,0.000,-,0.000,-,-
54,39,René Ammerlaan,B,0.000,0.000,-,0.000,-,-
55,40,Bart van Leeuwen,B,0.000,0.000,-,0.000,-,-
56,41,Mark van der Weide,B,0.000,0.000,-,0.000,-,-
57,44,Ard Koeleman,B,0.000,0.000,-,0.000,-,-
58,46,Saar Mooij,B,0.000,0.000,-,0.000,-,-
59,48,Nanky Fernandez Bonilla,B,0.000,0.000,-,0.000,-,-
60,50,Niek Adema,B,0.000,0.000,-,0.000,-,-
61,52,Nienke Bennis,B,0.000,0.000,-,0.000,-,-
