Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,56,Tom de Vreede,110547 | ZAC A (09/06) - 19:30:00,1:10:16.049,0.000,37,1:45.400,5,46.213 km/h
2,20,Robin Schoew,110547 | ZAC A (09/06) - 19:30:00,1:10:16.317,0.268,37,1:43.672,37,46.983 km/h
3,37,Julian Kerklaan,110547 | ZAC A (09/06) - 19:30:00,1:10:16.851,0.802,37,1:44.022,37,46.825 km/h
4,40,Kees Pameijer,110547 | ZAC A (09/06) - 19:30:00,1:10:19.391,3.342,37,1:45.239,8,46.283 km/h
5,6,Teun Berkhout,110547 | ZAC A (09/06) - 19:30:00,1:11:16.585,1:0.536,37,1:46.445,3,45.759 km/h
6,57,Teun Wissema,110547 | ZAC A (09/06) - 19:30:00,1:11:16.822,1:0.773,37,1:44.979,3,46.398 km/h
7,23,Joost te Braake,110547 | ZAC A (09/06) - 19:30:00,1:11:16.951,1:0.902,37,1:45.621,3,46.116 km/h
8,27,Jianhao Wu,110547 | ZAC A (09/06) - 19:30:00,1:11:16.962,1:0.913,37,1:46.651,9,45.670 km/h
9,109,Stan van der Knaap,110547 | ZAC A (09/06) - 19:30:00,1:11:17.007,1:0.958,37,1:45.534,3,46.154 km/h
10,44,Don de Leeuw,110547 | ZAC A (09/06) - 19:30:00,1:11:43.705,1:27.656,37,1:45.666,3,46.096 km/h
11,76,Erik van Trigt,110547 | ZAC A (09/06) - 19:30:00,1:11:43.846,1:27.797,37,1:44.958,9,46.407 km/h
12,52,Rik Bisschop,110547 | ZAC A (09/06) - 19:30:00,1:11:43.952,1:27.903,37,1:45.856,9,46.013 km/h
13,24,Joost Slingerland,110547 | ZAC A (09/06) - 19:30:00,1:11:43.999,1:27.950,37,1:45.786,3,46.044 km/h
14,22,Jaco de Hoog,110547 | ZAC A (09/06) - 19:30:00,1:11:48.513,1:32.464,37,1:45.214,9,46.294 km/h
15,50,Siem Woldesilassie,110547 | ZAC A (09/06) - 19:30:00,1:11:42.721,1 lap,36,1:46.074,3,45.919 km/h
16,1,Guido Smit,110547 | ZAC A (09/06) - 19:30:00,1:11:43.679,1 lap,36,1:45.504,9,46.167 km/h
17,45,Alexander van den Berg van Saparoea,110547 | ZAC A (09/06) - 19:30:00,1:11:57.403,1 lap,36,1:45.867,9,46.009 km/h
18,2,Dennis van der Velden,110547 | ZAC A (09/06) - 19:30:00,1:10:30.970,5 laps,32,1:45.671,3,46.094 km/h
19,59,Qiyan Wang,110576 | ZAC B (09/06) - 19:31:00,1:0:53.506,7 laps,30,1:45.902,30,45.993 km/h
20,8,Jan Kwakkel,110576 | ZAC B (09/06) - 19:31:00,1:0:53.719,7 laps,30,1:45.468,30,46.183 km/h
