Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,7,Caiden Jeurissen,110548 | ZAC A (16/06) - 19:30:00,1:7:56.968,0.000,37,1:40.889,37,48.279 km/h
2,3,Tim van der Velden,110548 | ZAC A (16/06) - 19:30:00,1:7:57.207,0.239,37,1:39.994,5,48.711 km/h
3,34,Timo de Waard,110548 | ZAC A (16/06) - 19:30:00,1:7:57.284,0.316,37,1:40.718,37,48.361 km/h
4,50,Siem Woldesilassie,110548 | ZAC A (16/06) - 19:30:00,1:7:57.436,0.468,37,1:39.179,5,49.111 km/h
5,23,Joost te Braake,110548 | ZAC A (16/06) - 19:30:00,1:7:57.666,0.698,37,1:41.512,8,47.983 km/h
6,42,Sam Lagerwij,110548 | ZAC A (16/06) - 19:30:00,1:7:58.082,1.114,37,1:42.015,6,47.746 km/h
7,14,Tim Bennis,110548 | ZAC A (16/06) - 19:30:00,1:7:58.541,1.573,37,1:42.991,4,47.293 km/h
8,27,Jianhao Wu,110548 | ZAC A (16/06) - 19:30:00,1:7:58.664,1.696,37,1:42.017,7,47.745 km/h
9,40,Kees Pameijer,110548 | ZAC A (16/06) - 19:30:00,1:7:59.861,2.893,37,1:41.462,8,48.006 km/h
10,39,Roderick Loykens,110548 | ZAC A (16/06) - 19:30:00,1:7:59.974,3.006,37,1:42.305,14,47.611 km/h
11,10,Hans Meerbeek,110548 | ZAC A (16/06) - 19:30:00,1:8:0.410,3.442,37,1:42.778,7,47.391 km/h
12,38,Bart Vonk,110548 | ZAC A (16/06) - 19:30:00,1:8:0.486,3.518,37,1:42.754,14,47.403 km/h
13,9,Sander Huisson,110548 | ZAC A (16/06) - 19:30:00,1:8:0.553,3.585,37,1:42.297,6,47.614 km/h
14,32,Martijn Coeveld,110548 | ZAC A (16/06) - 19:30:00,1:8:0.581,3.613,37,1:42.576,6,47.485 km/h
15,1,Guido Smit,110548 | ZAC A (16/06) - 19:30:00,1:8:1.012,4.044,37,1:42.842,29,47.362 km/h
16,28,Jan Gudde,110548 | ZAC A (16/06) - 19:30:00,1:8:1.074,4.106,37,1:42.159,14,47.679 km/h
17,112,Christiaan Meerbeek,110548 | ZAC A (16/06) - 19:30:00,1:8:6.611,9.643,37,1:42.804,7,47.379 km/h
18,41,Bob van den Berg,110548 | ZAC A (16/06) - 19:30:00,1:8:10.218,13.250,37,1:41.619,28,47.932 km/h
19,45,Alexander van den Berg van Saparoea,110548 | ZAC A (16/06) - 19:30:00,1:8:4.175,1 lap,36,1:42.291,13,47.617 km/h
20,113,Jochem Middendorp,110548 | ZAC A (16/06) - 19:30:00,1:8:4.303,1 lap,36,1:42.279,7,47.623 km/h
21,56,Raymond Olsthoorn,110577 | ZAC B (16/06) - 19:31:00,58:3.879,7 laps,30,1:45.462,30,46.185 km/h
22,59,Qiyan Wang,110577 | ZAC B (16/06) - 19:31:00,58:4.326,7 laps,30,1:43.296,30,47.154 km/h
23,2,Oskar Loman,110577 | ZAC B (16/06) - 19:31:00,58:4.441,7 laps,30,1:45.492,30,46.172 km/h
24,7,Sijmen Kwakkel,110577 | ZAC B (16/06) - 19:31:00,58:4.491,7 laps,30,1:47.522,30,45.300 km/h
25,8,Jan Kwakkel,110577 | ZAC B (16/06) - 19:31:00,58:4.703,7 laps,30,1:45.918,30,45.987 km/h
26,146,Marc Kramer,110577 | ZAC B (16/06) - 19:31:00,58:4.791,7 laps,30,1:44.743,30,46.502 km/h
27,37,Rob van der Liende,110577 | ZAC B (16/06) - 19:31:00,58:4.905,7 laps,30,1:45.035,30,46.373 km/h
28,45,Joost van Giesen,110577 | ZAC B (16/06) - 19:31:00,58:4.908,7 laps,30,1:45.393,30,46.216 km/h
29,17,Olen Olsthoorn,110577 | ZAC B (16/06) - 19:31:00,58:5.084,7 laps,30,1:46.511,30,45.730 km/h
30,24,Ole Olsthoorn,110577 | ZAC B (16/06) - 19:31:00,58:5.269,7 laps,30,1:46.168,30,45.878 km/h
31,19,Tijme Aleman,110577 | ZAC B (16/06) - 19:31:00,58:6.771,7 laps,30,1:47.425,30,45.341 km/h
32,25,Johan Olsthoorn,110577 | ZAC B (16/06) - 19:31:00,58:6.777,7 laps,30,1:46.331,30,45.808 km/h
33,26,Erik Mooij,110577 | ZAC B (16/06) - 19:31:00,58:7.874,7 laps,30,1:47.220,30,45.428 km/h
34,107,Ricardo Hillegers,110577 | ZAC B (16/06) - 19:31:00,58:7.883,7 laps,30,1:45.875,30,46.005 km/h
35,30,Niels Levelt,110577 | ZAC B (16/06) - 19:31:00,58:8.010,7 laps,30,1:46.921,30,45.555 km/h
36,42,Leo Perera,110577 | ZAC B (16/06) - 19:31:00,58:8.160,7 laps,30,1:47.373,30,45.363 km/h
37,111,Alexandros Sklavos,110577 | ZAC B (16/06) - 19:31:00,58:8.164,7 laps,30,1:47.985,30,45.106 km/h
