Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,26,Daan Hogenelst,110562 | ZAC A (22/09) - 19:30:00,1:14:34.609,0.000,41,1:41.744,34,47.873 km/h
2,3,Tim van der Velden,110562 | ZAC A (22/09) - 19:30:00,1:14:45.218,10.609,41,1:38.941,15,49.229 km/h
3,21,Erik de Niet,110562 | ZAC A (22/09) - 19:30:00,1:14:45.651,11.042,41,1:41.073,8,48.191 km/h
4,6,Teun Berkhout,110562 | ZAC A (22/09) - 19:30:00,1:14:46.266,11.657,41,1:41.107,8,48.175 km/h
5,50,Siem Woldesilassie,110562 | ZAC A (22/09) - 19:30:00,1:14:46.931,12.322,41,1:40.402,8,48.513 km/h
6,38,Bart Vonk,110562 | ZAC A (22/09) - 19:30:00,1:14:47.363,12.754,41,1:38.873,15,49.263 km/h
7,40,Kees Pameijer,110562 | ZAC A (22/09) - 19:30:00,1:14:47.401,12.792,41,1:40.304,15,48.560 km/h
8,18,Robbert Schaap,110562 | ZAC A (22/09) - 19:30:00,1:14:47.480,12.871,41,1:40.972,8,48.239 km/h
9,37,Julian Kerklaan,110562 | ZAC A (22/09) - 19:30:00,1:14:47.533,12.924,41,1:40.660,8,48.389 km/h
10,27,Jianhao Wu,110562 | ZAC A (22/09) - 19:30:00,1:14:47.792,13.183,41,1:40.879,8,48.284 km/h
11,23,Joost te Braake,110562 | ZAC A (22/09) - 19:30:00,1:14:47.842,13.233,41,1:40.174,8,48.623 km/h
12,48,Linus Kloepfer,110562 | ZAC A (22/09) - 19:30:00,1:14:47.974,13.365,41,1:39.713,15,48.848 km/h
13,58,Johan Olsthoorn,110562 | ZAC A (22/09) - 19:30:00,1:14:48.243,13.634,41,1:41.033,8,48.210 km/h
14,118,Chris Heiberg,110562 | ZAC A (22/09) - 19:30:00,1:14:48.496,13.887,41,1:41.093,8,48.181 km/h
15,10,Hans Meerbeek,110562 | ZAC A (22/09) - 19:30:00,1:14:48.630,14.021,41,1:41.223,8,48.119 km/h
16,28,Jan Gudde,110562 | ZAC A (22/09) - 19:30:00,1:14:48.872,14.263,41,1:41.257,8,48.103 km/h
17,120,Jasper Kettenis,110562 | ZAC A (22/09) - 19:30:00,1:14:48.890,14.281,41,1:39.882,8,48.766 km/h
18,2,Dennis van der Velden,110562 | ZAC A (22/09) - 19:30:00,1:14:49.095,14.486,41,1:41.182,8,48.139 km/h
19,52,Rik Bisschop,110562 | ZAC A (22/09) - 19:30:00,1:14:49.478,14.869,41,1:41.231,8,48.116 km/h
20,43,Ronald Geleynse,110562 | ZAC A (22/09) - 19:30:00,1:14:49.931,15.322,41,1:41.239,8,48.112 km/h
