Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,120,Jasper Kettenis,110557 | ZAC A (18/08) - 19:30:00,1:15:31.960,0.000,41,1:37.030,28,50.199 km/h
2,16,Peter Fils,110557 | ZAC A (18/08) - 19:30:00,1:15:32.577,0.617,41,1:42.811,10,47.376 km/h
3,60,Ties Kuiper,110557 | ZAC A (18/08) - 19:30:00,1:15:33.049,1.089,41,1:44.217,15,46.737 km/h
4,21,Erik de Niet,110557 | ZAC A (18/08) - 19:30:00,1:15:33.057,1.097,41,1:43.744,15,46.950 km/h
5,23,Joost te Braake,110557 | ZAC A (18/08) - 19:30:00,1:15:33.343,1.383,41,1:42.752,15,47.403 km/h
6,134,Andreas de Wit,110557 | ZAC A (18/08) - 19:30:00,1:15:34.064,2.104,41,1:41.085,25,48.185 km/h
7,8,Jasper Hupkes,110557 | ZAC A (18/08) - 19:30:00,1:15:37.850,5.890,41,1:42.234,15,47.644 km/h
8,50,Siem Woldesilassie,110557 | ZAC A (18/08) - 19:30:00,1:17:0.910,1:28.950,41,1:42.463,15,47.537 km/h
9,27,Jianhao Wu,110557 | ZAC A (18/08) - 19:30:00,1:17:1.000,1:29.040,41,1:41.984,25,47.760 km/h
10,133,Boaz Zoutewelle,110557 | ZAC A (18/08) - 19:30:00,1:17:1.435,1:29.475,41,1:43.795,15,46.927 km/h
11,1,Guido Smit,110557 | ZAC A (18/08) - 19:30:00,1:17:1.581,1:29.621,41,1:42.782,10,47.390 km/h
12,61,Jan Kwakkel,110557 | ZAC A (18/08) - 19:30:00,1:17:1.791,1:29.831,41,1:42.845,10,47.361 km/h
13,24,Joost Slingerland,110557 | ZAC A (18/08) - 19:30:00,1:17:1.900,1:29.940,41,1:44.758,3,46.496 km/h
14,43,Ronald Geleynse,110557 | ZAC A (18/08) - 19:30:00,1:17:2.107,1:30.147,41,1:44.407,15,46.652 km/h
15,135,Henk Meliesie,110557 | ZAC A (18/08) - 19:30:00,1:17:2.277,1:30.317,41,1:44.161,15,46.762 km/h
16,132,Marc van der Kaa,110557 | ZAC A (18/08) - 19:30:00,1:17:2.800,1:30.840,41,1:42.828,15,47.368 km/h
17,45,Alexander van den Berg van Saparoea,110557 | ZAC A (18/08) - 19:30:00,1:17:3.063,1:31.103,41,1:44.804,10,46.475 km/h
18,32,Martijn Coeveld,110557 | ZAC A (18/08) - 19:30:00,1:17:4.131,1:32.171,41,1:43.504,14,47.059 km/h
19,4,Marc Plönes,110557 | ZAC A (18/08) - 19:30:00,1:17:4.511,1:32.551,41,1:44.493,11,46.614 km/h
20,53,Mark Veenstra,110557 | ZAC A (18/08) - 19:30:00,1:17:5.897,1:33.937,41,1:44.012,15,46.829 km/h
21,29,Richard Schouten,110557 | ZAC A (18/08) - 19:30:00,1:17:6.204,1:34.244,41,1:43.819,15,46.916 km/h
22,146,Marc Kramer,110586 | ZAC B (18/08) - 19:31:00,1:2:4.462,10 laps,31,1:45.155,31,46.320 km/h
23,161,Jurgen van der Welle,110586 | ZAC B (18/08) - 19:31:00,1:2:4.507,10 laps,31,1:45.282,31,46.264 km/h
24,107,Ricardo Hillegers,110586 | ZAC B (18/08) - 19:31:00,1:2:4.600,10 laps,31,1:46.851,3,45.585 km/h
25,7,Sijmen Kwakkel,110586 | ZAC B (18/08) - 19:31:00,1:2:4.655,10 laps,31,1:45.755,31,46.057 km/h
26,38,Femke van Welie,110586 | ZAC B (18/08) - 19:31:00,1:2:4.791,10 laps,31,1:45.723,31,46.071 km/h
27,45,Joost van Giesen,110586 | ZAC B (18/08) - 19:31:00,1:2:4.797,10 laps,31,1:45.448,31,46.191 km/h
28,19,Tijme Aleman,110586 | ZAC B (18/08) - 19:31:00,1:2:4.850,10 laps,31,1:45.668,31,46.095 km/h
29,2,Oskar Loman,110586 | ZAC B (18/08) - 19:31:00,1:2:4.893,10 laps,31,1:45.735,31,46.066 km/h
30,4,Bram van der Velden,110586 | ZAC B (18/08) - 19:31:00,1:2:4.905,10 laps,31,1:45.392,31,46.216 km/h
31,24,Ole Olsthoorn,110586 | ZAC B (18/08) - 19:31:00,1:2:5.899,10 laps,31,1:46.305,31,45.819 km/h
32,42,Leo Perera,110586 | ZAC B (18/08) - 19:31:00,1:2:6.463,10 laps,31,1:46.906,31,45.562 km/h
33,84,Robin Hendriks,110586 | ZAC B (18/08) - 19:31:00,1:2:6.798,10 laps,31,1:44.132,14,46.775 km/h
34,109,Sanne Brouwer,110586 | ZAC B (18/08) - 19:31:00,1:2:7.399,10 laps,31,1:47.694,31,45.228 km/h
35,15,Jeroen de Keijzer,110586 | ZAC B (18/08) - 19:31:00,1:2:7.893,10 laps,31,1:47.641,8,45.250 km/h
36,28,Bas Neuteboom,110586 | ZAC B (18/08) - 19:31:00,1:2:8.424,10 laps,31,1:48.181,31,45.025 km/h
37,14,Jurn Bezemer,110586 | ZAC B (18/08) - 19:31:00,1:2:4.876,11 laps,30,1:45.825,30,46.027 km/h
38,29,Sanne Kerklaan,110586 | ZAC B (18/08) - 19:31:00,1:2:8.346,11 laps,30,1:48.456,30,44.910 km/h
39,61,Rémy van Es,110586 | ZAC B (18/08) - 19:31:00,1:2:11.603,12 laps,29,1:50.675,3,44.010 km/h
40,65,Louis Oudshoorn,110586 | ZAC B (18/08) - 19:31:00,1:2:16.311,13 laps,28,1:52.129,11,43.439 km/h
41,44,Don de Leeuw,110557 | ZAC A (18/08) - 19:30:00,54:28.111,14 laps,27,1:44.425,10,46.644 km/h
42,51,Eric Weber,110586 | ZAC B (18/08) - 19:31:00,1:2:5.775,14 laps,27,1:46.340,27,45.804 km/h
43,180,Sela Zeeman,110586 | ZAC B (18/08) - 19:31:00,46:10.603,21 laps,20,1:51.034,3,43.868 km/h
44,52,Nienke Bennis,110586 | ZAC B (18/08) - 19:31:00,39:7.326,25 laps,16,1:50.122,3,44.231 km/h
45,46,Saar Mooij,110586 | ZAC B (18/08) - 19:31:00,28:42.030,30 laps,11,1:52.950,2,43.124 km/h
46,2,Dennis van der Velden,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
47,3,Tim van der Velden,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
48,5,Rob uit de Bosch,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
49,6,Teun Berkhout,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
50,7,Caiden Jeurissen,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
51,9,Sander Huisson,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
52,10,Hans Meerbeek,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
53,11,Niels van Vliet,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
54,14,Tim Bennis,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
55,15,Mathijs Bodde,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
56,17,Juul Hubert,110557 | ZAC A (18/08) - 19:30:00,0.000,0.000,-,0.000,-,-
